#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g1285.t1       -          PF13519_full         -            1.7e-08   35.7   0.0   3.3e-08   34.7   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g29981.t1      -          PF13519_full         -            1.7e-08   35.6   0.0   2.2e-08   35.3   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g456.t1        -          PF13519_full         -            1.8e-08   35.6   0.9     4e-08   34.5   0.4   1.7   2   0   0   2   2   1   1 -
anno1.g1628.t1       -          PF13519_full         -            2.8e-08   35.0   0.0   7.1e-08   33.6   0.0   1.6   2   0   0   2   2   1   1 -
anno1.g36915.t1      -          PF13519_full         -            2.8e-08   35.0   0.0   3.3e-08   34.7   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g3477.t1       -          PF13519_full         -            4.6e-08   34.3   0.0   6.5e-08   33.7   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g12199.t1      -          PF13519_full         -            5.8e-08   33.9   0.0   5.8e-08   33.9   0.0   2.7   3   0   0   3   3   1   1 -
anno1.g12190.t2      -          PF13519_full         -            6.8e-08   33.7   0.0   1.1e-07   33.0   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g31950.t1      -          PF13519_full         -              7e-08   33.7   0.0   2.5e-05   25.3   0.0   2.3   2   0   0   2   2   2   1 -
anno1.g23964.t1      -          PF13519_full         -            8.1e-08   33.4   0.0   4.7e-05   24.4   0.0   2.3   2   0   0   2   2   2   1 -
anno1.g3399.t1       -          PF13519_full         -            9.6e-08   33.2   0.0   7.5e-05   23.7   0.0   2.3   2   0   0   2   2   2   1 -
anno1.g17494.t1      -          PF13519_full         -              1e-07   33.1   0.0   1.6e-07   32.4   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g12931.t1      -          PF13519_full         -            1.5e-07   32.6   0.0   4.2e-07   31.1   0.0   1.7   1   0   0   1   1   1   1 -
anno1.g18846.t1      -          PF13519_full         -            1.6e-07   32.5   2.1   2.8e-07   31.7   2.1   1.3   1   0   0   1   1   1   1 -
anno1.g30260.t1      -          PF13519_full         -            1.8e-07   32.3   0.1   3.5e-07   31.4   0.1   1.4   1   0   0   1   1   1   1 -
anno1.g1441.t1       -          PF13519_full         -            3.1e-07   31.5   0.0   4.4e-07   31.0   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g10179.t1      -          PF13519_full         -            7.1e-07   30.4   1.0   0.00015   22.8   0.0   2.4   2   0   0   2   2   2   1 -
anno1.g9906.t1       -          PF13519_full         -            9.1e-07   30.0   0.0   2.4e-06   28.6   0.0   1.6   1   0   0   1   1   1   1 -
anno1.g3397.t1       -          PF13519_full         -            9.5e-07   29.9   0.0   0.00064   20.7   0.0   2.4   2   0   0   2   2   2   1 -
anno1.g17647.t1      -          PF13519_full         -            9.8e-07   29.9   0.0   1.4e-06   29.4   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g1634.t1       -          PF13519_full         -            1.4e-06   29.4   0.0   2.8e-06   28.4   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g1633.t1       -          PF13519_full         -            1.4e-06   29.4   0.0   2.7e-06   28.4   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g11839.t1      -          PF13519_full         -            1.4e-06   29.4   0.0   2.7e-06   28.4   0.0   1.4   1   1   0   1   1   1   1 -
anno1.g15185.t1      -          PF13519_full         -            1.6e-06   29.2   0.0   2.2e-06   28.8   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g30981.t3      -          PF13519_full         -            1.7e-06   29.1   0.0   2.9e-06   28.4   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g29299.t2      -          PF13519_full         -            1.9e-06   29.0   0.0   3.6e-06   28.0   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g37894.t1      -          PF13519_full         -            2.3e-06   28.7   0.0   3.1e-06   28.3   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g1629.t1       -          PF13519_full         -            2.3e-06   28.7   0.0   4.2e-06   27.8   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g15804.t1      -          PF13519_full         -            2.4e-06   28.7   0.0     0.066   14.1   0.0   2.9   3   0   0   3   3   2   2 -
anno1.g1280.t1       -          PF13519_full         -            2.7e-06   28.5   0.0   3.6e-06   28.0   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g19338.t1      -          PF13519_full         -              3e-06   28.3   0.0   4.8e-06   27.6   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g3383.t1       -          PF13519_full         -            1.1e-05   26.5   0.0    0.0023   18.8   0.0   2.3   2   0   0   2   2   2   1 -
anno1.g13810.t1      -          PF13519_full         -            1.2e-05   26.3   0.1   2.2e-05   25.5   0.1   1.3   1   0   0   1   1   1   1 -
anno1.g3400.t1       -          PF13519_full         -            1.4e-05   26.1   0.0    0.0035   18.3   0.0   2.3   2   0   0   2   2   2   1 -
anno1.g33176.t1      -          PF13519_full         -            1.7e-05   25.8   0.0   2.8e-05   25.1   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g16149.t3      -          PF13519_full         -            2.2e-05   25.5   0.1   4.3e-05   24.5   0.1   1.5   1   0   0   1   1   1   1 -
anno1.g1637.t1       -          PF13519_full         -            2.8e-05   25.1   0.0   5.7e-05   24.1   0.0   1.5   1   0   0   1   1   1   1 -
anno1.g37893.t1      -          PF13519_full         -            3.3e-05   24.9   0.0   4.5e-05   24.4   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g5886.t1       -          PF13519_full         -            3.5e-05   24.8   0.1    0.0058   17.5   0.0   2.3   2   0   0   2   2   2   1 -
anno1.g26725.t1      -          PF13519_full         -            4.3e-05   24.5   0.0   0.00022   22.2   0.0   1.9   1   1   1   2   2   2   1 -
anno1.g23965.t1      -          PF13519_full         -            5.1e-05   24.3   0.5    0.0068   17.3   0.0   2.3   2   0   0   2   2   2   1 -
anno1.g35276.t1      -          PF13519_full         -            5.5e-05   24.2   0.0   0.00014   22.9   0.0   1.6   1   1   1   2   2   1   1 -
anno1.g23962.t1      -          PF13519_full         -            0.00011   23.2   0.0    0.0017   19.3   0.0   2.2   2   0   0   2   2   2   1 -
anno1.g23726.t1      -          PF13519_full         -            0.00011   23.2   0.0   0.00016   22.6   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g17506.t1      -          PF13519_full         -            0.00013   23.0   0.0    0.0002   22.4   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g7738.t1       -          PF13519_full         -            0.00028   21.9   0.0   0.00038   21.4   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g12197.t1      -          PF13519_full         -            0.00045   21.2   0.1     0.046   14.6   0.1   3.2   3   1   0   3   3   3   1 -
anno1.g25274.t1      -          PF13519_full         -            0.00045   21.2   0.0   0.00076   20.4   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g20178.t1      -          PF13519_full         -            0.00049   21.1   0.0     0.001   20.0   0.0   1.5   1   1   0   1   1   1   1 -
anno1.g26724.t1      -          PF13519_full         -             0.0008   20.4   0.0    0.0027   18.7   0.0   1.8   1   1   1   2   2   1   1 -
anno1.g26727.t1      -          PF13519_full         -            0.00089   20.2   0.0    0.0014   19.6   0.0   1.4   1   0   0   1   1   1   1 -
