#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g44013.t1      -          PF13519_full         -            1.5e-12   49.2   0.0   1.9e-12   48.8   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g12475.t1      -          PF13519_full         -            1.6e-12   49.0   0.0   3.3e-12   48.0   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g5359.t1       -          PF13519_full         -            2.7e-12   48.3   0.0   4.2e-12   47.7   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g8020.t1       -          PF13519_full         -            3.1e-12   48.1   0.9   1.1e-11   46.2   0.0   2.3   2   0   0   2   2   1   1 -
anno1.g31082.t1      -          PF13519_full         -            3.4e-12   48.0   0.0   4.8e-12   47.5   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g41994.t2      -          PF13519_full         -            3.5e-12   47.9   0.0   8.3e-12   46.7   0.0   1.6   1   0   0   1   1   1   1 -
anno1.g6338.t1       -          PF13519_full         -            4.3e-12   47.6   0.0   5.8e-12   47.2   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g20690.t1      -          PF13519_full         -            4.8e-12   47.5   0.0   7.8e-12   46.8   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g16312.t1      -          PF13519_full         -              5e-12   47.4   0.0   8.4e-12   46.7   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g7121.t1       -          PF13519_full         -            7.9e-12   46.8   0.0   0.00016   22.8   0.0   2.5   2   0   0   2   2   2   2 -
anno1.g19620.t1      -          PF13519_full         -            8.4e-12   46.7   0.0   1.7e-11   45.6   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g28755.t1      -          PF13519_full         -            2.6e-11   45.1   0.0   5.2e-11   44.1   0.0   1.4   1   1   1   2   2   1   1 -
anno1.g8132.t1       -          PF13519_full         -            6.5e-11   43.8   0.0   9.7e-11   43.2   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g13369.t1      -          PF13519_full         -            6.7e-11   43.7   0.0   9.1e-11   43.3   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g41996.t1      -          PF13519_full         -            7.7e-11   43.5   0.1   1.9e-10   42.3   0.1   1.6   1   0   0   1   1   1   1 -
anno1.g2340.t1       -          PF13519_full         -            9.2e-11   43.3   0.0   1.6e-10   42.5   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g7272.t1       -          PF13519_full         -            1.1e-10   43.0   0.0   1.6e-10   42.5   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g11392.t1      -          PF13519_full         -            1.2e-10   42.9   0.0   1.8e-10   42.3   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g1115.t1       -          PF13519_full         -            1.3e-10   42.7   0.0   1.6e-10   42.5   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g3665.t1       -          PF13519_full         -            1.6e-10   42.5   0.0    0.0011   20.2   0.0   2.8   3   0   0   3   3   2   2 -
anno1.g38578.t1      -          PF13519_full         -              2e-10   42.2   0.0   3.5e-10   41.4   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g15471.t1      -          PF13519_full         -            2.9e-10   41.6   0.0   4.5e-10   41.0   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g1482.t1       -          PF13519_full         -              3e-10   41.6   0.0   6.9e-10   40.4   0.0   1.5   1   0   0   1   1   1   1 -
anno1.g6343.t1       -          PF13519_full         -            6.2e-10   40.6   0.0     8e-10   40.2   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g35899.t1      -          PF13519_full         -            8.8e-10   40.1   0.0   1.2e-09   39.7   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g9615.t1       -          PF13519_full         -            3.5e-09   38.1   0.0   6.9e-09   37.2   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g9165.t1       -          PF13519_full         -            6.2e-09   37.3   0.1   9.1e-09   36.7   0.1   1.2   1   0   0   1   1   1   1 -
anno1.g1746.t1       -          PF13519_full         -            8.4e-09   36.9   0.0   1.1e-08   36.4   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g23753.t1      -          PF13519_full         -              9e-09   36.8   0.0   1.4e-08   36.1   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g40645.t1      -          PF13519_full         -            9.2e-09   36.7   1.7   1.3e-08   36.3   1.7   1.2   1   0   0   1   1   1   1 -
anno1.g40874.t1      -          PF13519_full         -            1.8e-08   35.8   0.1   2.7e-08   35.2   0.1   1.2   1   0   0   1   1   1   1 -
anno1.g26114.t1      -          PF13519_full         -            3.2e-08   35.0   0.1   5.4e-06   27.7   0.0   2.9   3   0   0   3   3   2   1 -
anno1.g24392.t1      -          PF13519_full         -              4e-08   34.6   0.2   5.5e-08   34.2   0.2   1.1   1   0   0   1   1   1   1 -
anno1.g22056.t1      -          PF13519_full         -            8.3e-08   33.6   0.0   1.4e-07   32.9   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g43427.t1      -          PF13519_full         -            9.2e-08   33.5   0.0   1.4e-07   32.9   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g42183.t2      -          PF13519_full         -            1.3e-07   33.0   0.1   4.9e-07   31.1   0.0   2.0   2   0   0   2   2   1   1 -
anno1.g6352.t1       -          PF13519_full         -            1.3e-07   33.0   0.0   2.2e-07   32.2   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g6221.t1       -          PF13519_full         -            1.3e-07   32.9   0.0   2.2e-07   32.2   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g23696.t1      -          PF13519_full         -            3.3e-07   31.6   0.0     0.042   14.9   0.0   3.3   3   0   0   3   3   3   1 -
anno1.g20749.t1      -          PF13519_full         -              4e-07   31.4   0.0     0.001   20.2   0.0   2.3   2   0   0   2   2   2   1 -
anno1.g5291.t1       -          PF13519_full         -            4.3e-07   31.3   0.0   5.4e-07   30.9   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g10494.t1      -          PF13519_full         -            4.4e-07   31.2   0.0   2.9e-05   25.3   0.0   2.3   2   0   0   2   2   2   1 -
anno1.g15696.t1      -          PF13519_full         -            4.5e-07   31.2   0.0   9.2e-07   30.2   0.0   1.5   1   0   0   1   1   1   1 -
anno1.g22657.t1      -          PF13519_full         -            1.1e-06   29.9   0.0   1.5e-06   29.5   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g31176.t1      -          PF13519_full         -            1.2e-06   29.8   0.1    0.0022   19.1   0.0   2.5   3   0   0   3   3   2   1 -
anno1.g11121.t1      -          PF13519_full         -            1.3e-06   29.7   0.0   2.4e-06   28.8   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g39583.t1      -          PF13519_full         -            1.9e-06   29.2   0.2   2.9e-06   28.6   0.2   1.2   1   0   0   1   1   1   1 -
anno1.g41224.t1      -          PF13519_full         -              2e-06   29.1   0.2   2.9e-06   28.5   0.2   1.2   1   0   0   1   1   1   1 -
anno1.g11427.t1      -          PF13519_full         -            2.5e-06   28.7   0.0   3.1e-06   28.5   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g31192.t1      -          PF13519_full         -            3.5e-06   28.3   0.0   0.00093   20.3   0.0   2.2   2   0   0   2   2   2   1 -
anno1.g40558.t1      -          PF13519_full         -            4.1e-06   28.1   0.2   5.5e-06   27.6   0.2   1.2   1   0   0   1   1   1   1 -
anno1.g23316.t1      -          PF13519_full         -            5.4e-06   27.7   0.0   1.3e-05   26.4   0.0   1.7   1   0   0   1   1   1   1 -
anno1.g41931.t1      -          PF13519_full         -            5.9e-06   27.5   0.0   7.4e-06   27.2   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g9985.t1       -          PF13519_full         -            8.9e-06   27.0   0.0   1.3e-05   26.5   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g27313.t1      -          PF13519_full         -            2.8e-05   25.3   0.0   3.2e-05   25.1   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g30833.t1      -          PF13519_full         -            3.6e-05   25.0   0.0   4.8e-05   24.6   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g33797.t1      -          PF13519_full         -            3.7e-05   24.9   0.0     0.019   16.0   0.0   3.0   3   0   0   3   3   3   1 -
anno1.g31817.t1      -          PF13519_full         -            4.5e-05   24.7   0.0   7.5e-05   23.9   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g34991.t1      -          PF13519_full         -            6.1e-05   24.2   0.0    0.0001   23.5   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g41496.t1      -          PF13519_full         -            6.6e-05   24.1   0.0    0.0014   19.8   0.0   2.1   2   0   0   2   2   2   1 -
anno1.g4010.t1       -          PF13519_full         -            0.00011   23.3   0.0   0.00028   22.1   0.0   1.6   2   0   0   2   2   1   1 -
anno1.g14433.t1      -          PF13519_full         -            0.00018   22.7   0.0   0.00022   22.4   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g41659.t1      -          PF13519_full         -            0.00021   22.4   0.0   0.00033   21.8   0.0   1.3   1   0   0   1   1   1   1 -
