#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g3943.t1       -          PF00047_full         -            1.8e-30  106.9   3.0   5.5e-15   56.4   0.1   3.0   1   1   1   3   3   3   2 -
anno1.g549.t1        -          PF00047_full         -            2.7e-30  106.2   0.2   2.3e-11   44.6   0.0   4.5   1   1   3   4   4   4   4 -
anno1.g385.t1        -          PF00047_full         -            3.2e-30  106.0   7.5     2e-09   38.2   0.0   3.8   2   1   2   4   4   3   3 -
anno1.g19060.t1      -          PF00047_full         -            5.3e-30  105.3   0.5   3.4e-12   47.3   0.0   3.2   1   1   2   3   3   3   3 -
anno1.g22439.t1      -          PF00047_full         -            6.2e-30  105.1   2.5     5e-10   40.2   0.8   5.4   3   2   1   4   4   4   4 -
anno1.g23971.t1      -          PF00047_full         -            7.8e-30  104.8   0.1   5.4e-10   40.1   0.0   3.4   1   1   2   3   3   3   3 -
anno1.g30300.t1      -          PF00047_full         -            9.4e-30  104.5   2.3   1.9e-09   38.3   0.9   4.1   2   2   2   4   4   3   3 -
anno1.g8201.t1       -          PF00047_full         -            9.6e-30  104.5   2.9   6.6e-16   59.4   0.0   3.4   1   1   2   3   3   3   3 -
anno1.g9987.t1       -          PF00047_full         -            1.3e-29  104.0   0.1   1.6e-11   45.1   0.0   3.3   1   1   2   3   3   3   3 -
anno1.g23973.t1      -          PF00047_full         -            1.6e-29  103.7   7.7   7.3e-12   46.2   0.9   3.6   2   1   2   4   4   3   3 -
anno1.g30139.t1      -          PF00047_full         -            4.1e-29  102.4  20.4   2.2e-10   41.4   1.5   3.5   1   1   2   3   3   3   3 -
anno1.g15646.t1      -          PF00047_full         -            8.5e-29  101.4   9.3   1.8e-17   64.5   0.6   3.4   1   1   2   3   3   3   3 -
anno1.g8175.t1       -          PF00047_full         -            1.5e-28  100.6   7.1   2.4e-06   28.2   0.0   6.4   2   2   4   6   6   6   5 -
